run_id,status,gravity_mps2,use_imu_orientation,use_imu_orientation_covariance,var_imu_orientation_rpy,var_imu_w,var_imu_acc,var_gnss_xy,var_gnss_z,max_imu_dt_sec,initial_yaw_label,initial_yaw_deg,initial_yaw_source_topic,time_normalize,time_align,yaw_reference,est_time_offset_sec,gt_time_offset_sec,matched_samples,rmse_3d_m,rmse_xy_m,rmse_3d_nobias_m,rmse_xy_nobias_m,mean_3d_m,median_3d_m,p95_3d_m,max_3d_m,bias_x_m,bias_y_m,bias_z_m,attitude_matched_samples,attitude_angle_rmse_deg,attitude_angle_mean_deg,roll_rmse_deg,pitch_rmse_deg,yaw_rmse_deg,roll_bias_deg,pitch_bias_deg,yaw_bias_deg,yaw_mae_deg
run_004,ok,0.0,True,True,0.0015,0.01,0.01,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,absolute,gt_quat,0.0,0.0,5062.0,7.687505422407589,7.656354636046461,6.371897900683459,6.345054572927167,4.9723672409988655,3.2169620834466155,9.640044565845734,102.89598390464117,-2.5829060021389227,3.418866093253862,0.36960517222041084,5059.0,0.2971967869006572,0.13739568043586475,0.1232644891873016,0.13354311535830288,0.23121102815327804,0.02662992274982962,0.07408065411508717,0.02119037442825991,0.043638758123918736
run_001,ok,0.0,True,True,0.0015,0.005,0.005,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,relative,gt_quat,478587.31,478586.91,3439.0,15.86554963575036,15.864993078736987,15.161383632159382,15.160801716469509,7.842678828831385,6.2775807270015545,20.571008330274413,92.1647477421202,3.180056875656689,-3.4256875178318,0.003860137802312395,3437.0,0.564187765458999,0.3318021785684485,0.24752209331897979,0.36152180041243626,0.3524460820700978,0.11220685173018377,-0.008539848460794057,0.09663650857604844,0.20845843148525
run_005,ok,0.0,True,True,0.002,0.005,0.005,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,absolute,gt_quat,0.0,0.0,4070.0,19.392004745224988,19.386210633984312,15.348838128782916,15.343766533114513,15.057819058953827,10.486819585206824,34.36575538525738,67.27411064660265,-7.454953123213241,9.209650658582577,0.26272573683000683,4070.0,1.0626249649359474,0.6510985857660868,0.5613525974734744,0.14497151834483915,0.8875272279445731,0.3355902334144352,0.08817291519802835,0.11893897691593393,0.45859674684025525
run_006,ok,0.0,True,True,0.002,0.005,0.01,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,absolute,gt_quat,0.0,0.0,4577.0,20.164735378492193,20.152208147075164,20.164503537407406,20.152030150079398,13.195023383350167,7.104662343598623,56.207378713725795,93.87467488417784,0.015635159946962077,-0.0832440694566956,-0.046646984502629225,4577.0,0.3034771251199473,0.1822503331823906,0.1659240725882434,0.11186603503261117,0.22523963372486835,0.054721264901788635,-0.002290154859029983,-0.022131417142399655,0.08919340941608951
run_008,ok,0.0,True,True,0.002,0.01,0.01,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,absolute,gt_quat,0.0,0.0,3591.0,28.364292027617317,28.358249232329197,22.099845233535184,22.09298552237404,20.756931561829465,21.14409746217541,58.39983950455453,248.8570325289414,-11.36299426465048,13.67379433707359,-0.19902927096661066,3590.0,0.29630536879971026,0.21859410888249317,0.13812707208589073,0.12494637258113687,0.2311668741409818,0.056683032224874634,0.009704450072044572,0.09104774933658073,0.13003201416094673
run_003,ok,0.0,True,True,0.0015,0.01,0.005,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,absolute,gt_quat,0.0,0.0,4358.0,37.94019249880769,37.93871562080728,34.75358047962232,34.75224178502944,16.281916338312097,2.5593177764927275,102.14625352982864,227.267544079146,-9.61043310759131,11.80116135623576,0.13790149271841715,4357.0,1.5033933146276688,0.625093949876723,0.11983187808950925,1.2203425297997548,0.8682702534163292,0.030863630355852982,-0.39713579832565016,0.3080921445414284,0.32417170520164373
run_007,ok,0.0,True,True,0.002,0.01,0.005,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,absolute,gt_quat,0.0,0.0,5398.0,218.02317928339153,217.9351821573459,176.14247296982126,176.04282757948098,131.611714100263,38.61739359838038,487.78133941149537,489.58914258466785,-80.71709075287163,99.94707469540423,-1.8081595997421251,5398.0,0.3498657466400566,0.22071503632578984,0.1687388591635345,0.11986988603512111,0.2787968948803578,0.07565791083188031,0.05660697103949259,0.04453022253448078,0.11889899996985795
run_002,ok,0.0,True,True,0.0015,0.005,0.01,0.05,0.1,1.0,yaw_init = yaw_poslv,-48.748667,/ins_pose,none,relative,gt_quat,478586.95,478586.91,6404.0,265.37896075050935,264.7778084664656,205.988509247933,205.2496006344047,169.63805440433785,60.11653234881243,517.6108560689586,521.995716473083,129.36668591336766,-106.03843582171024,-3.8519567905681447,6403.0,0.32568883441198687,0.20857333205607378,0.19573401453438033,0.19257628058522339,0.17926513748380243,0.008285113582185028,-0.024367397549755886,0.04761907336779123,0.10087264778355863
